page,index_on_page,filename,bytes,extension,sha256,is_duplicate,first_seen_as
17,1,page_017/2026SS_p017_001.png,1387,png,cde39a68fa155d1174a9b161cdd8e119a2039aa23e4f9dafe4de5ad81a5b85f7,yes,page_002/2026SS_p002_002.png
17,2,page_017/2026SS_p017_002.png,1387,png,cde39a68fa155d1174a9b161cdd8e119a2039aa23e4f9dafe4de5ad81a5b85f7,yes,page_002/2026SS_p002_002.png
17,3,page_017/2026SS_p017_003.jpg,59252,jpg,614879d18c47d415804c2ff660180b585b87311faa4016415c970bfc66200173,no,
17,4,page_017/2026SS_p017_004.jp2,1845631,jp2,64b2b102e328fb709fe385239cd7a3644d03cfd4fad32797b89484f2987ac243,no,
17,5,page_017/2026SS_p017_005.jpg,51957,jpg,940f25ab7c804fd15d5e387eb238fb7280255d85a7f6fd2fb472f346e4fd4487,no,
18,1,page_018/2026SS_p018_001.png,1387,png,cde39a68fa155d1174a9b161cdd8e119a2039aa23e4f9dafe4de5ad81a5b85f7,yes,page_002/2026SS_p002_002.png
18,2,page_018/2026SS_p018_002.png,1387,png,cde39a68fa155d1174a9b161cdd8e119a2039aa23e4f9dafe4de5ad81a5b85f7,yes,page_002/2026SS_p002_002.png
18,3,page_018/2026SS_p018_003.jpg,45693,jpg,b98f82717e6131198c2f37690cf7e886857dc63847972599ec56ac0b78e39175,no,
18,4,page_018/2026SS_p018_004.jpg,5133,jpg,b10fedc1acd39bf8f52ce2f319ea803256ae159348ce7b9fd2cb857646271cfa,no,
18,5,page_018/2026SS_p018_005.jpg,10719,jpg,617c97c6b193e7a39bcc7767c640a17519d02cfb87b0302110d8d127d9a4cb9c,no,
18,6,page_018/2026SS_p018_006.jpg,10703,jpg,b7e7500354ddf24c8308baa7f41f37fd34dd82685c51c36bc703ca598059b897,no,
18,7,page_018/2026SS_p018_007.jpg,11183,jpg,20f45aead2e874f4c5e1168480b137400a486f0a501b0f087b75a743438a2180,no,
18,8,page_018/2026SS_p018_008.jpg,10855,jpg,834ab1ee0c61bbe311ba98272a989e8613f0e77827d6198957c5c22df46f626a,no,
18,9,page_018/2026SS_p018_009.jpg,6657,jpg,40e6801a77284ddc669f31661a7ca6a4c8ff208dfcf4541a57ff4647f72ed5f6,no,
18,10,page_018/2026SS_p018_010.jpg,9289,jpg,26c56277689b2d2a067b4af0b3e95b5c057043dbced00e31e3851a823e6ff557,no,
19,1,page_019/2026SS_p019_001.png,1387,png,cde39a68fa155d1174a9b161cdd8e119a2039aa23e4f9dafe4de5ad81a5b85f7,yes,page_002/2026SS_p002_002.png
19,2,page_019/2026SS_p019_002.png,1387,png,cde39a68fa155d1174a9b161cdd8e119a2039aa23e4f9dafe4de5ad81a5b85f7,yes,page_002/2026SS_p002_002.png
19,3,page_019/2026SS_p019_003.jp2,1246910,jp2,c2fe60a0b31e4ff7d870de1be6eff89725476d5b032ed3fc58b1254fa5b3d1d0,no,
19,4,page_019/2026SS_p019_004.jpg,4407,jpg,d407b679390ba55e1c62126a3bc31e0b1aafe1b9836972a4a99677c1d0464802,no,
19,5,page_019/2026SS_p019_005.jpg,4455,jpg,9d8393e8e82c560908e2099a2462b76be8734951f862724e8837387b447657d4,no,
19,6,page_019/2026SS_p019_006.jpg,4778,jpg,4770680a7fcd8dde89d0f905984a0d966ec805503d0dbfbf7db5c0f358b0fab0,no,
19,7,page_019/2026SS_p019_007.jpg,49259,jpg,6e11241afa49256ff5006581581a6b201d789ddf6d5650b9e0738104250fe312,no,
20,1,page_020/2026SS_p020_001.png,1387,png,cde39a68fa155d1174a9b161cdd8e119a2039aa23e4f9dafe4de5ad81a5b85f7,yes,page_002/2026SS_p002_002.png
20,2,page_020/2026SS_p020_002.png,1387,png,cde39a68fa155d1174a9b161cdd8e119a2039aa23e4f9dafe4de5ad81a5b85f7,yes,page_002/2026SS_p002_002.png
20,3,page_020/2026SS_p020_003.jpg,86851,jpg,74cdf8bd486bead6f1817fe5e4602e161dc6251ff50d399d333d98b1814313a6,no,
20,4,page_020/2026SS_p020_004.png,27057,png,461a8226c58656cf1288a4510ec44f9b4d1b345ca3fc4852c4344a0df7bbcf81,no,
20,5,page_020/2026SS_p020_005.jpg,11826,jpg,eafb6c0fcddba9ad427bd0516d202ac0479bb1926925c3131dabe04a74a64ae7,no,
20,6,page_020/2026SS_p020_006.jpg,15136,jpg,10ad169bdf2c78562000786fa157379d0e68fcf303ff9695d8742204bf0299ee,no,
20,7,page_020/2026SS_p020_007.jpg,14060,jpg,50134b6c0cec1caa1ce1504d7a5cf06c5a461efb336a4c575d999d8226e701fc,no,
20,8,page_020/2026SS_p020_008.jpg,12046,jpg,8c693ffdd348bb5b2ee194ef9cbf0a939d0c70ffdf594b13877fda0716281a73,no,
20,9,page_020/2026SS_p020_009.jpg,9181,jpg,de95e79a780211b5df8cee2022090a6ccd513c3147f772230f01f3ad2d19fc37,no,
21,1,page_021/2026SS_p021_001.png,1387,png,cde39a68fa155d1174a9b161cdd8e119a2039aa23e4f9dafe4de5ad81a5b85f7,yes,page_002/2026SS_p002_002.png
21,2,page_021/2026SS_p021_002.png,1387,png,cde39a68fa155d1174a9b161cdd8e119a2039aa23e4f9dafe4de5ad81a5b85f7,yes,page_002/2026SS_p002_002.png
21,3,page_021/2026SS_p021_003.jp2,585238,jp2,8de614f78471c5ac5bce09b2d818ee68a19a58064305a024db4c4ad7f923ed37,no,
21,4,page_021/2026SS_p021_004.png,20976,png,3d9b73da8f4cfcfb8b8a27a22c671fcb6bc81eadb41e75118c56c1d82d3a6f82,no,
21,5,page_021/2026SS_p021_005.jpg,7010,jpg,d60581f5602f6a11d63e863c6946e15e2c73208fe9ee7610c6bf219f8525917b,no,
21,6,page_021/2026SS_p021_006.png,39748,png,5273150058740f0b23a7e869c2226bec0e577c7916990c89ea6b79578c2c2385,no,
21,7,page_021/2026SS_p021_007.jpg,12284,jpg,e0dd951f669219f8b54436319c75ee8da812a9baa060551e599b2f7c12720ec0,no,
21,8,page_021/2026SS_p021_008.jpg,10456,jpg,16fe6bd3609e930b9013ff5131c5873ff9bea47ebfe820992fc4c734d2e7ecf0,no,
21,9,page_021/2026SS_p021_009.jpg,8440,jpg,4dcecd2fc84000718339bd1e7429339dc687507e9da07caa5593aac68ffcdcc8,no,
21,10,page_021/2026SS_p021_010.jpg,9679,jpg,b368ae2e039cadbed08fb03f3aee2afde76e72dce10ae7c0596365da78a4917e,no,
22,1,page_022/2026SS_p022_001.png,1387,png,cde39a68fa155d1174a9b161cdd8e119a2039aa23e4f9dafe4de5ad81a5b85f7,yes,page_002/2026SS_p002_002.png
